shortName;regularMarketTime;regularMarketPrice;regularMarketDayHigh;regularMarketDayLow;regularMarketVolume;symbol;earningsPerShare
FII RIZA TX CI;2024-11-28T14:22:12,000Z;89,2;89,55;89,11;6881;RZTR11;None
FII BEES CRICI;2024-11-28T14:19:53,000Z;63,8;63,99;63,41;1894;BCRI11;None
FII HGCR PAXCI;2024-11-28T14:22:28,000Z;96,14;96,54;96;7202;HGCR11;None
FII MAUA    CI  ER;2024-11-28T14:22:27,000Z;82,61;83,02;81,65;9157;MCCI11;None
FII XP CRED CI;2024-11-28T14:21:38,000Z;78,31;78,82;78,01;4232;XPCI11;None
FII MERITO ICI;2024-11-28T14:20:18,000Z;94,32;94,39;93;3451;MFII11;None
FII TG ATIVOCI;2024-11-28T14:22:09,000Z;98,39;99,5;98,3;12639;TGAR11;None
FII BC FUND CI;2024-11-28T14:22:16,000Z;44,67;44,77;44,63;9879;BRCR11;None
FII BC FFII CI;2024-10-18T20:07:34,000Z;7,35;0;0;0;BCFF11;None
FII XP SELECCI;2024-11-28T14:22:07,000Z;6,7;6,75;6,68;8662;XPSF11;None
FII BTLG    CI  ER;2024-11-28T14:20:28,000Z;95,69;96,95;95,53;21105;BTLG11;None
FII VBI LOG CI;2024-11-28T14:22:16,000Z;99,6;100,35;99,32;6244;LVBI11;None
FII VINCI LGCI;2024-11-28T14:22:13,000Z;77,8;78,4;77,8;3327;VILG11;None
FII XP LOG  CI;2024-11-28T14:22:17,000Z;94,3;95,39;94,3;7391;XPLG11;None
FII HEDGEBS CI;2024-11-28T14:22:19,000Z;196,97;201;196,3;3108;HGBS11;None
FII VINCI SCCI;2024-11-28T14:20:56,000Z;99,16;100,49;99,06;18566;VISC11;None
FII XP MALLSCI  ER;2024-11-28T14:22:19,000Z;101,26;102,08;101,24;48653;XPML11;None
FII TRX REALCI;2024-11-28T14:22:19,000Z;102,51;103,39;102,51;15040;TRXF11;None
BRASIL      ON      NM;2024-11-28T14:20:06,000Z;24,77;25,21;24,75;4178900;BBAS3;3,633902
BTGP BANCO  UNT     N2;2024-11-28T14:20:03,000Z;30,8;31,84;30,79;2676900;BPAC11;None
ELETROBRAS  ON      N1;2024-11-28T14:20:02,000Z;34,38;35,3;34,38;2460700;ELET3;4,4936802
ISA ENERGIA PN      N1;2024-11-28T14:22:32,000Z;24,08;24,26;24,05;378300;ISAE4;5,0207267
ORIZON      ON      NM;2024-11-28T14:22:15,000Z;42,13;43,32;42,03;70000;ORVR3;1,9278731
COSAN       ON      NM;2024-11-28T14:22:18,000Z;10,3;10,76;10,29;5038600;CSAN3;1,1973369
ITAUSA      PN      N1;2024-11-28T14:19:35,000Z;9,88;10,08;9,87;6401600;ITSA4;1,3595191
COPASA      ON      NM;2024-11-28T14:22:08,000Z;25,28;25,7;25,28;301100;CSMG3;3,6900618
SANEPAR     UNT     N2;2024-11-28T14:20:10,000Z;27,65;27,9;27,44;134700;SAPR11;None
PORTO SEGUROON      NM;2024-11-28T14:22:01,000Z;37,58;38,15;37,37;262400;PSSA3;4,056555
UNIFIQUE    ON      NM;2024-11-28T14:20:35,000Z;3,8;3,95;3,78;111100;FIQE3;0,4900955
TIM         ON      NM;2024-11-28T14:22:16,000Z;15,72;16,16;15,7;535300;TIMS3;1,3174606
TELEF BRASILON;2024-11-28T14:22:12,000Z;49,84;50,93;49,65;406400;VIVT3;3,2658407
